year,product,dx_km,station,var,n,bias,rmse,r,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12
2021,WRF (forcing),1.5,GARDEN ISLAND HSF,wind,8757,1.013,2.044,0.822,0.421,0.688,0.71,0.71,1.57,1.409,1.936,1.559,0.965,0.881,0.571,0.691
2021,WRF (forcing),1.5,ROTTNEST ISLAND,airT,8757,0.019,1.85,0.899,-1.719,0.265,-0.512,0.54,0.996,0.924,0.755,0.869,0.231,0.258,-0.86,-1.473
2021,WRF (forcing),1.5,ROTTNEST ISLAND,wind,8757,0.138,1.81,0.814,0.086,0.44,0.205,0.178,0.507,-0.051,-0.019,0.096,0.033,-0.01,0.214,0.004
2021,WRF (forcing),1.5,SWANBOURNE,airT,8759,-0.03,1.508,0.96,-0.657,0.721,-0.259,0.234,0.43,0.226,0.098,-0.067,-0.211,0.021,-0.404,-0.421
2021,WRF (forcing),1.5,SWANBOURNE,wind,8758,0.149,1.234,0.859,-0.064,0.215,0.199,-0.118,0.125,0.191,0.58,0.225,0.085,0.117,0.064,0.158
2021,WRF (forcing),1.5,JANDAKOT AERO,airT,8717,0.046,1.763,0.964,-1.019,0.44,0.045,0.695,0.713,0.958,-0.033,-0.031,-0.036,0.007,-0.52,-0.552
2021,WRF (forcing),1.5,JANDAKOT AERO,wind,8717,-0.203,1.763,0.77,-0.381,-0.36,-0.089,0.029,0.098,0.365,-0.378,-0.322,-0.445,-0.308,-0.344,-0.278
2021,BARRA-C2,4.44,GARDEN ISLAND HSF,airT,8758,0.058,2.892,0.772,-1.404,-0.578,-0.437,0.187,0.67,1.129,1.324,1.102,0.395,0.034,-0.637,-1.121
2021,BARRA-C2,4.44,GARDEN ISLAND HSF,wind,8757,0.828,3.102,0.505,0.97,0.769,0.413,0.346,0.897,0.903,1.772,1.023,0.6,0.64,0.585,0.983
2021,BARRA-C2,4.44,ROTTNEST ISLAND,airT,8757,0.52,2.31,0.842,-1.002,-0.058,0.02,0.59,1.302,1.571,1.866,1.268,0.786,0.64,-0.032,-0.738
2021,BARRA-C2,4.44,ROTTNEST ISLAND,wind,8757,0.531,2.939,0.559,0.643,0.873,0.29,0.395,0.745,0.277,1.136,0.437,0.338,0.306,0.419,0.523
2021,BARRA-C2,4.44,SWANBOURNE,airT,8759,0.862,4.515,0.669,0.936,1.002,0.837,0.884,0.695,0.663,0.72,0.698,0.943,0.834,0.998,1.153
2021,BARRA-C2,4.44,SWANBOURNE,wind,8758,-0.594,2.158,0.522,-0.474,-0.399,-0.412,-0.621,-0.649,-0.625,-0.887,-0.79,-0.604,-0.711,-0.506,-0.432
2021,BARRA-C2,4.44,JANDAKOT AERO,airT,8717,0.513,5.897,0.578,0.169,0.149,0.267,0.509,0.786,1.278,0.752,0.735,0.754,0.478,0.182,0.12
2021,BARRA-C2,4.44,JANDAKOT AERO,wind,8717,-1.179,2.686,0.485,-1.825,-1.619,-1.303,-0.898,-0.68,-0.362,-1.244,-1.094,-1.117,-1.199,-1.359,-1.419
