region,level,var,bias,rmse,n
OA,surf,T,0.2056633778107472,0.39911082023394856,195
OA,surf,S,0.02409084026630119,0.629499577570849,195
OA,bot,T,0.1374101329598831,0.3844131432470943,195
OA,bot,S,-0.23078120728361556,0.32576760859964166,195
CS,surf,T,0.2784128311983088,0.38099190290079094,388
CS,surf,S,-0.09723141267127594,0.13838921864218806,388
CS,bot,T,0.24899386854130973,0.36065611752565874,388
CS,bot,S,-0.23343556888323885,0.27918044408593085,388
NW,surf,T,0.1664138326839525,0.6773611968829023,49
NW,surf,S,1.8187828453219668,3.4173673621960217,49
NW,bot,T,-0.09693735229299046,0.46883090929281307,49
NW,bot,S,-0.297314976378216,0.3502023984117209,49
W,surf,T,0.6961067517598473,0.9343930521473994,6
W,surf,S,0.005472819010416667,0.12771284326450968,6
W,bot,T,0.761295954386393,0.967982765391359,6
W,bot,S,-0.00698089599609375,0.11882628397512884,6
SW,surf,T,-0.042298853397369385,0.372121948497157,16
SW,surf,S,-0.2914462089538574,0.34027386045105656,16
SW,bot,T,-0.09331674673761248,0.5565304105909017,16
SW,bot,S,-0.33619676516308106,0.42307022965933716,16
