station,region,n,field_dep,mdl_near,mismatch,adj_dep,adj_off_m,adj_lon,adj_lat
CS20,CS,68,21.2,20.5,0.7,21.0,229,115.7033,-32.1491
CS203,CS,2,16.4,17.0,-0.5,16.3,299,115.7096,-32.2637
CS205,CS,2,18.1,18.2,-0.1,18.2,49,115.717,-32.2605
CS207,CS,2,17.4,16.4,1.0,17.4,213,115.7217,-32.2576
CS209,CS,3,17.3,12.5,4.8,17.5,268,115.7179,-32.2411
CS20A,OA,29,20.0,17.4,2.6,19.5,272,115.7036,-32.1395
CS20B,CS,5,19.0,19.8,-0.8,19.6,167,115.7061,-32.1456
CS20BN,OA,1,18.8,18.6,0.2,18.8,87,115.7033,-32.1387
CS20C,CS,1,20.8,20.8,-0.0,20.8,94,115.7083,-32.1586
CS20D,CS,1,21.5,21.4,0.1,21.4,73,115.7035,-32.1508
CS211,CS,1,16.0,5.4,10.6,15.2,202,115.71,-32.239
CS213,CS,1,15.3,9.7,5.5,15.6,300,115.7012,-32.2367
CS215,CS,1,13.9,6.7,7.3,13.8,278,115.6969,-32.2387
CS219,CS,1,4.0,2.5,1.5,4.0,150,115.7033,-32.2518
CS22,CS,5,19.3,19.8,-0.4,19.3,300,115.7216,-32.1454
CS221,CS,3,4.3,1.5,2.8,4.3,210,115.7048,-32.2585
CS223,CS,2,3.1,2.0,1.1,3.1,254,115.6979,-32.2663
CS226,CS,9,16.5,15.9,0.6,16.4,170,115.7,-32.2336
CS227,CS,1,17.6,16.4,1.2,17.4,158,115.7042,-32.2337
CS229,CS,1,19.2,19.8,-0.6,19.3,241,115.725,-32.2433
CS22A,CS,11,20.1,19.7,0.4,20.1,287,115.7125,-32.1496
CS22N,OA,1,18.8,19.4,-0.6,18.8,248,115.715,-32.1392
CS22NW,OA,1,19.6,20.3,-0.7,19.6,262,115.7088,-32.1402
CS231,CS,1,18.8,19.8,-0.9,19.3,249,115.7253,-32.2586
CS233,CS,3,20.0,17.9,2.1,19.3,297,115.72,-32.2678
CS233A,CS,1,16.3,-0.2,16.5,15.9,235,115.7217,-32.2747
CS235,CS,1,18.8,15.3,3.5,18.9,165,115.7157,-32.2654
CS23S,CS,1,18.4,19.2,-0.8,18.6,261,115.7275,-32.1423
CS25,CS,28,20.2,18.7,1.4,19.3,291,115.7215,-32.1518
CS25A,CS,1,19.7,19.4,0.3,19.5,297,115.7169,-32.1515
CS26,CS,7,10.7,13.2,-2.5,10.5,251,115.7357,-32.1514
CS27,CS,16,17.0,13.2,3.8,17.3,151,115.7315,-32.1504
CS27A,CS,1,10.7,11.0,-0.2,10.7,125,115.741,-32.1507
CS27N,CS,1,13.8,11.7,2.1,12.4,147,115.7334,-32.1446
CS28,CS,9,11.5,11.0,0.5,11.0,230,115.7375,-32.1501
CS28N,CS,1,10.4,11.3,-0.8,10.9,299,115.7424,-32.1446
CS30,CS,23,21.2,9.4,11.8,10.7,290,115.7535,-32.1495
CS35,CS,6,10.6,10.5,0.0,10.6,285,115.7416,-32.1674
CS4,CS,4,25.7,21.0,4.7,21.7,281,115.7037,-32.1569
CS40,CS,7,19.0,18.8,0.2,19.0,191,115.7289,-32.1662
CS45,CS,54,21.0,20.9,0.0,20.9,44,115.7091,-32.1677
CS45NE,CS,2,20.5,20.2,0.4,20.5,231,115.7094,-32.1602
CS46,CS,2,20.3,20.8,-0.5,20.4,289,115.7134,-32.1723
CS46.5,CS,1,19.3,20.7,-1.3,20.4,230,115.7154,-32.1786
CS47,CS,3,21.3,20.5,0.9,21.3,286,115.7108,-32.1834
CS47A,CS,2,21.1,21.6,-0.5,21.2,295,115.6912,-32.1698
CS5,OA,27,12.2,9.3,2.9,10.3,205,115.6569,-32.1457
CS50,CS,36,21.2,19.8,1.4,21.3,298,115.6968,-32.1886
CS52,CS,11,23.2,22.5,0.7,22.8,263,115.7051,-32.1911
CS53,CS,1,21.7,22.5,-0.8,21.6,250,115.709,-32.1887
CS55,CS,109,20.6,20.4,0.2,20.6,220,115.713,-32.1858
CS58,CS,1,20.3,20.9,-0.6,20.3,223,115.7189,-32.2014
CS6,CS,3,25.8,11.1,14.7,11.1,132,115.7541,-32.1474
CS60,CS,33,9.5,9.3,0.2,9.4,121,115.7483,-32.1873
CS65,CS,36,14.7,8.4,6.3,10.0,284,115.7641,-32.1869
CS7,OA,1,11.0,10.8,0.2,10.8,120,115.6672,-32.1443
CS70,CS,1,9.4,10.4,-1.0,9.6,297,115.7711,-32.1965
CS70M,CS,1,9.5,10.5,-1.0,9.6,248,115.7711,-32.1965
CS75,CS,4,12.4,10.7,1.7,12.4,189,115.7573,-32.2091
CS7N,OA,1,11.2,9.0,2.2,9.4,288,115.6814,-32.1425
CS80,CS,5,14.3,15.2,-0.9,14.3,195,115.7446,-32.2065
CS85,CS,49,22.0,21.1,0.9,21.8,228,115.7178,-32.2096
CS85A,CS,1,19.7,20.3,-0.6,20.1,285,115.7188,-32.2245
CS88,CS,10,20.8,20.3,0.5,20.4,294,115.7223,-32.2206
CS9,CS,2,25.7,10.4,15.3,13.6,286,115.7548,-32.2064
CS90,CS,6,15.8,7.7,8.2,16.3,210,115.7005,-32.222
CS95,CS,8,14.9,12.7,2.2,14.8,222,115.6927,-32.2337
CS98,CS,2,19.2,19.3,-0.1,19.2,236,115.7051,-32.2293
CS99,CS,1,18.4,18.8,-0.4,18.3,174,115.7028,-32.2308
DEV01,OA,1,19.8,17.4,2.4,19.4,101,115.6877,-32.1426
