region,level,var,bias,rmse,n
OA,surf,T,0.08757359640938896,0.7411844963716828,21
OA,surf,S,0.9578859238397504,1.294126685497962,21
OA,bot,T,-0.3145592503637748,0.7233537017044077,21
OA,bot,S,0.47289729457462115,0.5325358754197094,21
CS,surf,T,-0.33492301305135086,0.4103333148887697,30
CS,surf,S,1.0577459971110028,1.062403248793512,30
CS,bot,T,-0.6632361855414975,0.7618287207187254,30
CS,bot,S,0.7479610405091675,0.7727558985871029,30
NW,surf,T,0.18493766784667987,0.937383975145752,10
NW,surf,S,2.9220333099365234,3.8730597941612195,10
NW,bot,T,-0.23183297778336803,0.7880903007314727,10
NW,bot,S,0.3290811555195994,0.37490015914075125,10
SW,surf,T,-0.35625314712524414,0.4443328261394423,2
SW,surf,S,0.33646392822265625,0.3579871588956412,2
SW,bot,T,-0.6807336807250977,0.7018591381828149,2
SW,bot,S,0.3788337707519531,0.39363873166876223,2
