region,level,var,bias,rmse,n
OA,surf,T,0.007667316534580338,0.46692441599281154,195
OA,surf,S,0.9175791520338793,1.1065805518267327,195
OA,bot,T,-0.1298526536119727,0.4722969298658595,195
OA,bot,S,0.5943243009499014,0.6492427815504157,195
CS,surf,T,-0.23588223064068672,0.3494917959281869,388
CS,surf,S,1.0353677395692806,1.0402951521114763,388
CS,bot,T,-0.3457453697801671,0.462272518318069,388
CS,bot,S,0.8465973919160827,0.8652306868975315,388
NW,surf,T,0.13627303376489755,0.7560088709996928,49
NW,surf,S,2.7811402301399077,4.158196642286843,49
NW,bot,T,-0.19744828610083118,0.7750332702273532,49
NW,bot,S,0.2868716046115544,0.34743047375664066,49
W,surf,T,-0.18660751978556286,0.41614766133713826,6
W,surf,S,1.0848973592122395,1.0882328710807425,6
W,bot,T,-0.12141831715901723,0.3509545269791366,6
W,bot,S,1.0724436442057292,1.0757675105608082,6
SW,surf,T,-0.15202057361602783,0.34335253740455807,16
SW,surf,S,0.46394658088684126,0.5264820142012835,16
SW,bot,T,-0.4344156705085108,0.6515881819190285,16
SW,bot,S,0.3989560311893876,0.512450590544016,16
