station,region,lat,lon,model_lon,model_lat,note
CS26,CS,-32.150074,115.733497,115.733497,-32.150074,
CS27,CS,-32.151275,115.732748,115.732748,-32.151275,
CS27A,CS,-32.149941,115.74003,115.74003,-32.149941,
CS27N,CS,-32.14328,115.733326,115.733326,-32.14328,
CS28,CS,-32.15128,115.739492,115.739492,-32.15128,
CS28N,CS,-32.14328,115.745158,115.745158,-32.14328,
CS30,CS,-32.151278,115.751156,115.751156,-32.151278,
CS35,CS,-32.167941,115.738658,115.738658,-32.167941,
CS4,CS,-32.156776,115.706661,115.706661,-32.156776,
CS40,CS,-32.167941,115.728657,115.728657,-32.167941,
CS45,CS,-32.167945,115.709494,115.709494,-32.167945,
CS45NE,CS,-32.15928,115.711662,115.711662,-32.15928,
CS46,CS,-32.173778,115.710907,115.710907,-32.173778,
CS46.5,CS,-32.178282,115.712996,115.712996,-32.178282,
CS47,CS,-32.181775,115.713159,115.713159,-32.181775,
CS47A,CS,-32.167943,115.69349,115.69349,-32.167943,
CS5,OA,-32.144612,115.658655,115.658655,-32.144612,
CS50,CS,-32.18994,115.693993,115.693993,-32.18994,
CS52,CS,-32.188781,115.705826,115.705826,-32.188781,
CS53,CS,-32.188949,115.706323,115.706323,-32.188949,
CS55,CS,-32.18761,115.71399,115.71399,-32.18761,
CS58,CS,-32.201275,115.716481,115.716481,-32.201275,
CS6,CS,-32.147945,115.755326,115.755326,-32.147945,
CS60,CS,-32.187112,115.746996,115.746996,-32.187112,
CS65,CS,-32.186277,115.761158,115.761158,-32.186277,
CS7,OA,-32.143548,115.666325,115.666325,-32.143548,
CS70,CS,-32.19878,115.769497,115.769497,-32.19878,
CS70M,CS,-32.19761,115.768823,115.768823,-32.19761,
CS75,CS,-32.20961,115.755325,115.755325,-32.20961,
CS7N,OA,-32.139947,115.681655,115.681655,-32.139947,
CS80,CS,-32.205447,115.742989,115.742989,-32.205447,
CS85,CS,-32.211279,115.719163,115.719163,-32.211279,
CS85A,CS,-32.227013,115.718497,115.718497,-32.227013,
CS88,CS,-32.223195,115.72271,115.72271,-32.223195,
CS9,CS,-32.203777,115.754662,115.754662,-32.203777,
CS90,CS,-32.222948,115.698572,115.698572,-32.222948,
CS95,CS,-32.233778,115.690331,115.690331,-32.233778,
CS98,CS,-32.227274,115.704326,115.704326,-32.227274,
CS99,CS,-32.229276,115.702494,115.702494,-32.229276,
DEV01,OA,-32.142942,115.688663,115.688663,-32.142942,
DEV04,CS,-32.15178,115.686659,115.686659,-32.15178,
DEV05,CS,-32.158941,115.688327,115.688327,-32.158941,
GI1,NW,-32.133444,115.623326,115.623326,-32.133444,
GI10,W,-32.150108,115.453324,115.453324,-32.150108,
GI100,SW,-32.25011,115.416657,115.416657,-32.25011,
GI11,W,-32.169281,115.485823,115.485823,-32.169281,
