set,sim,model,zone,variable,metric,value,n_matched,source
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NIT_NIT,BIAS,2212.5012288801363,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NIT_NIT,MAE,0.02212501228880137,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NIT_NIT,MEF,,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NIT_NIT,NMAE,22.12501228880136,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NIT_NIT,NRMS,22.73366849103678,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NIT_NIT,R,0.0,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_NIT_NIT,RMS,0.02273366849103679,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_TP,BIAS,26.462565226988303,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_TP,MAE,0.0038205328546464454,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_TP,MEF,-9.39591234132172,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_TP,NMAE,0.26462565226988355,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_TP,NRMS,0.30548302412534845,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_TP,R,0.4416157052964206,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_DIAG_TOT_TP,RMS,0.00441041116080972,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_PHS_FRP,BIAS,-16.782493298737027,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_PHS_FRP,MAE,0.0006885392238618806,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_PHS_FRP,MEF,0.3073414690620745,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_PHS_FRP,NMAE,0.26869823370219725,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_PHS_FRP,NRMS,0.36255264556008465,16,errormatrix.mat
008_1.8_comparison,2013B,csiem1.8.0,CS_BasinMEast,WQ_PHS_FRP,R,0.677677139453569,16,errormatrix.mat
