subregion,source,level,var,bias,rmse,n
N,bc,surf,T,0.11344520524231344,0.7235435508072872,171
N,bc,surf,S,-0.016304111056857452,0.2805615156058461,171
N,bc,bot,T,0.6125975219347324,0.8584911157631063,171
N,bc,bot,S,-0.039802334559033176,0.23679965434764638,171
N,model,surf,T,-0.05941856681526459,0.8578296272667942,154
N,model,surf,S,0.1704302948790715,0.3191388469670937,154
N,model,bot,T,0.27434584184088917,0.9491019375211804,154
N,model,bot,S,0.18522984828198372,0.3460357035928612,154
NW,bc,surf,T,0.5461342409969715,0.8860016546299712,267
NW,bc,surf,S,-0.12209468495801129,0.2611342050851671,267
NW,bc,bot,T,0.762889958126706,1.0096799838000539,265
NW,bc,bot,S,-0.15240817172988722,0.2642404810937092,265
NW,model,surf,T,-0.26053130501195026,1.0955314598947872,190
NW,model,surf,S,0.3632634815416838,0.5291492426206178,190
NW,model,bot,T,-0.2034568838653077,1.0835474183448952,190
NW,model,bot,S,0.41910862541987615,0.5806177406106483,190
W,bc,surf,T,0.7707054449512112,0.9241488202652238,62
W,bc,surf,S,-0.04474001484532546,0.23583766607432124,62
W,bc,bot,T,0.9208989374345345,1.0569224349989164,62
W,bc,bot,S,-0.058720397247805936,0.3339579863620736,62
W,model,surf,T,-0.1801955124427536,0.847184984724099,58
W,model,surf,S,0.1420565638048904,0.46413270709179677,58
W,model,bot,T,-0.1231388326895762,0.8239135448879777,58
W,model,bot,S,0.26463695791417197,0.5012911649544347,58
SW,bc,surf,T,0.6144663402639701,0.8547544974804674,139
SW,bc,surf,S,-0.16525157308235391,0.3073939141824621,139
SW,bc,bot,T,0.7481525803820364,0.9425991303840395,139
SW,bc,bot,S,-0.2167206340183782,0.31967815445445175,139
SW,model,surf,T,0.28220053072328877,0.6138837398293185,108
SW,model,surf,S,0.5539602703518341,0.6408587369931135,108
SW,model,bot,T,0.38019163937512424,0.6823748178164394,108
SW,model,bot,S,0.5767348952873143,0.6578755714507558,108
S,bc,surf,T,0.5253281675924464,0.7773449248493395,127
S,bc,surf,S,0.9610339509258119,1.8261108527854935,127
S,bc,bot,T,0.47303551927701676,0.7107715885327942,127
S,bc,bot,S,0.2853463005005847,0.49725549498009325,127
S,model,surf,T,0.27076052868460104,0.5173103656769606,127
S,model,surf,S,0.7043018190879524,1.5833074412585855,127
S,model,bot,T,0.16973516888811677,0.49426781919447205,127
S,model,bot,S,0.0279220344985744,0.2591723876527105,127
