year,date,time,station,lat,lon,subregion,doy,obs_maxdep,obs_surfT,obs_surfS,obs_botT,obs_botS,bc_surfT,bc_surfS,bc_botT,bc_botS,bc_src,model_surfT,model_surfS,model_botT,model_botS,model_src,bc_surfT_bias,bc_surfS_bias,bc_botT_bias,bc_botS_bias,model_surfT_bias,model_surfS_bias,model_botT_bias,model_botS_bias
1991,1991-08-13,0930,MN27,-32.249281,115.602496,W,225,27.0,16.78333282470703,35.08000183105469,17.100000381469727,35.220001220703125,18.4625,35.4065,18.273,35.405,roms,17.103715896606445,35.03044128417969,16.66139793395996,35.28319549560547,fv,1.6791671752929673,0.3264981689453137,1.1729996185302731,0.18499877929687614,0.32038307189941406,-0.049560546875,-0.4386024475097656,0.06319427490234375
1991,1991-08-13,0930,Y6,-31.947273,115.726659,N,225,11.300000190734863,16.255001068115234,34.97443389892578,16.219999313354492,34.96156311035156,17.2115,35.400999999999996,17.212,35.403,roms,17.95872688293457,35.355045318603516,17.745716858098604,35.37209243772668,fv,0.9564989318847665,0.426566101074215,0.9920006866455076,0.4414368896484362,1.703725814819336,0.3806114196777344,1.5257175447441114,0.4105293273751158
1991,1991-08-13,1000,MN26,-32.333443,115.616662,SW,225,27.0,17.200000762939453,35.209999084472656,17.25,35.22999954223633,18.1155,35.406,17.944,35.411,roms,17.56802749633789,34.94645690917969,16.75225257873535,35.23880386352539,fv,0.9154992370605477,0.19600091552734256,0.6939999999999991,0.18100045776367324,0.3680267333984375,-0.26354217529296875,-0.49774742126464844,0.0088043212890625
1991,1991-08-13,1000,Y8,-31.920447,115.727822,N,225,13.899999618530273,16.469999313354492,35.015708923339844,16.553998947143555,35.04949188232422,17.301000000000002,35.400999999999996,17.296,35.403999999999996,roms,17.900619506835938,35.37892532348633,17.811753896249947,35.37797585296207,fv,0.8310006866455097,0.3852910766601525,0.7420010528564447,0.3545081176757776,1.4306201934814453,0.3632164001464844,1.257754949106392,0.32848397063784773
1991,1991-08-13,1004,OA45,-32.077944,115.616997,NW,225,20.196971893310547,17.80059242248535,35.1888542175293,17.5832462310791,35.171722412109375,18.220999999999997,35.406499999999994,18.252,35.407,roms,16.51163101196289,35.278812408447266,16.01717758178711,35.359439849853516,fv,0.42040757751464497,0.2176457824706972,0.6687537689208973,0.23527758789062148,-1.288961410522461,0.08995819091796875,-1.5660686492919922,0.18771743774414062
1991,1991-08-13,1015,OA50,-32.099116,115.616996,NW,225,17.52924346923828,17.668277740478516,35.20503616333008,17.40998077392578,35.16676712036133,18.220999999999997,35.406499999999994,18.252,35.407,roms,16.29868507385254,35.18217086791992,15.908927735709497,35.35841726196586,fv,0.5527222595214809,0.20146383666991596,0.8420192260742176,0.24023287963866835,-1.3695926666259766,-0.02286529541015625,-1.501053038216284,0.19165014160453353
1991,1991-08-13,1015,Y9,-31.893443,115.729156,N,225,13.899999618530273,16.893333435058594,35.16208267211914,16.90999984741211,35.19300079345703,17.301000000000002,35.400999999999996,17.296,35.403999999999996,roms,17.908071517944336,35.36904525756836,17.78918571786562,35.36965103138937,fv,0.4076665649414082,0.23891732788085562,0.38600015258789,0.2109992065429651,1.0147380828857422,0.20696258544921875,0.8791858704535116,0.17665023793233559
1991,1991-08-13,1105,Y11,-31.877275,115.731662,N,225,10.0,16.38166618347168,35.03580093383789,16.31999969482422,35.02497482299805,17.369999999999997,35.400999999999996,17.353,35.403,roms,17.68229103088379,35.363582611083984,17.592698097229004,35.35759925842285,fv,0.9883338165283178,0.3651990661621056,1.0330003051757828,0.3780251770019518,1.3006248474121094,0.32778167724609375,1.2726984024047852,0.3326244354248047
1991,1991-08-13,1112,Y12,-31.87678,115.719162,N,225,13.800000190734863,17.21000099182129,35.24006271362305,17.160001754760742,35.26188659667969,17.6385,35.3995,17.622,35.402,roms,17.960792541503906,35.35458755493164,17.90503093385956,35.3531545990118,fv,0.42849900817871145,0.15943728637695642,0.4619982452392577,0.14011340332031352,0.7507915496826172,0.11452484130859375,0.7450291790988182,0.0912680023321144
1991,1991-08-13,1125,Y13,-31.876776,115.698325,N,225,15.399999618530273,17.6200008392334,35.285682678222656,17.538333892822266,35.30122756958008,17.6385,35.3995,17.622,35.402,roms,18.076616287231445,35.32023620605469,18.03165664667904,35.31780433656968,fv,0.018499160766602074,0.11381732177734705,0.08366610717773426,0.1007724304199229,0.4566154479980469,0.03455352783203125,0.4933227538567735,0.01657676698960131
