year,date,time,station,lat,lon,subregion,doy,obs_maxdep,obs_surfT,obs_surfS,obs_botT,obs_botS,bc_surfT,bc_surfS,bc_botT,bc_botS,bc_src,model_surfT,model_surfS,model_botT,model_botS,model_src,bc_surfT_bias,bc_surfS_bias,bc_botT_bias,bc_botS_bias,model_surfT_bias,model_surfS_bias,model_botT_bias,model_botS_bias
1991,1991-08-13,1004,OA45,-32.077944,115.616997,NW,225,20.196971893310547,17.80059242248535,35.1888542175293,17.5832462310791,35.171722412109375,18.221,35.406499999999994,18.252,35.407,roms,16.51163101196289,35.278812408447266,16.01717758178711,35.35943984985352,fv,0.4204075775146449,0.2176457824706972,0.6687537689208973,0.2352775878906214,-1.288961410522461,0.0899581909179687,-1.5660686492919922,0.1877174377441406
1991,1991-08-13,1015,OA50,-32.099116,115.616996,NW,225,17.52924346923828,17.668277740478516,35.20503616333008,17.40998077392578,35.16676712036133,18.221,35.406499999999994,18.252,35.407,roms,16.29868507385254,35.18217086791992,15.908927735709495,35.35841726196586,fv,0.5527222595214809,0.2014638366699159,0.8420192260742176,0.2402328796386683,-1.3695926666259766,-0.0228652954101562,-1.501053038216284,0.1916501416045335
1991,1991-08-14,944,OA45,-32.077944,115.616997,NW,226,19.44607162475586,17.39543342590332,35.18994140625,17.341310501098633,35.20771026611328,18.186,35.3925,18.223,35.397,roms,16.5726261138916,35.35453414916992,16.09122565627568,35.36489391715035,fv,0.7905665740966796,0.2025585937499983,0.8816894989013662,0.1892897338867172,-0.8228073120117188,0.1645927429199218,-1.250084844822954,0.1571836510370658
1991,1991-08-14,955,OA50,-32.099116,115.616996,NW,226,18.408985137939453,17.419681549072266,35.18627166748047,17.500696182250977,35.230712890625,18.186,35.3925,18.223,35.397,roms,16.277456283569336,35.253662109375,15.88091278076172,35.34330749511719,fv,0.7663184509277343,0.2062283325195295,0.7223038177490224,0.1662871093749984,-1.1422252655029297,0.0673904418945312,-1.6197834014892578,0.1125946044921875
1991,1991-08-18,926,OA45,-32.077944,115.616997,NW,230,15.94168186187744,18.71359062194824,35.38542938232422,18.719316482543945,35.388397216796875,17.935499999999998,35.4055,17.95,35.406,roms,17.58171844482422,35.378177642822266,17.593196711979544,35.37623224206254,fv,-0.7780906219482446,0.0200706176757776,-0.769316482543946,0.0176027832031238,-1.1318721771240234,-0.0072517395019531,-1.1261197705644008,-0.0121649747343326
1991,1991-08-18,938,OA50,-32.099116,115.616996,NW,230,14.16306972503662,18.50470352172852,35.343658447265625,18.490524291992188,35.354637145996094,17.935499999999998,35.4055,17.95,35.406,roms,17.599807739257812,35.37273025512695,17.612580964905646,35.371456228567695,fv,-0.5692035217285181,0.0618415527343714,-0.5405242919921882,0.051362854003905,-0.9048957824707032,0.0290718078613281,-0.8779433270865411,0.016819082571601
1992,1992-03-09,1135,Y6,-31.947273,115.726659,N,69,12.65999984741211,23.510467529296875,36.14962387084961,22.76972007751465,36.30633544921875,23.0075,35.938,22.886,35.942,roms,22.771345138549805,36.08192443847656,22.17451775336908,36.10258285980769,fv,-0.5029675292968747,-0.211623870849607,0.1162799224853508,-0.3643354492187498,-0.7391223907470703,-0.0676994323730468,-0.5952023241455713,-0.2037525894110601
1992,1992-03-09,1143,Y7,-31.939614,115.747489,N,69,10.619999885559082,23.59188461303711,36.24127960205078,23.11600112915039,36.23574447631836,23.0075,35.938,22.886,35.942,roms,23.15434837341309,36.0758171081543,22.70372772216797,36.05629348754883,fv,-0.5843846130371091,-0.3032796020507788,-0.2300011291503914,-0.2937444763183592,-0.4375362396240234,-0.1654624938964843,-0.4122734069824219,-0.1794509887695312
1992,1992-03-09,1212,OA50,-32.099116,115.616996,NW,69,18.30341148376465,23.04918098449707,36.160247802734375,22.417999267578125,36.15251541137695,22.571,35.7315,22.471,35.727000000000004,roms,22.85671806335449,36.65082931518555,22.304872620456365,36.7732562392106,fv,-0.4781809844970723,-0.428747802734378,0.053000732421875,-0.4255154113769492,-0.1924629211425781,0.4905815124511719,-0.11312664712176,0.620740827833643
1992,1992-03-09,1237,Y11,-31.877275,115.731662,N,69,12.719999313354492,23.658353805541992,36.11445617675781,22.60174560546875,36.13725662231445,23.038,35.942,22.924,35.942,roms,22.97511482238769,36.04506301879883,22.31370766688823,36.01841633504648,fv,-0.6203538055419919,-0.1724561767578123,0.3222543945312495,-0.1952566223144529,-0.6832389831542969,-0.0693931579589843,-0.2880379385805192,-0.1188402872679716
