subregion,source,level,var,bias,rmse,n
N,bc,surf,T,-0.0009685096740725184,0.37640100333404836,28
N,bc,surf,S,-0.26942940412248895,0.3084730682898432,28
N,bc,bot,T,0.621580605899586,1.0658312772626997,17
N,bc,bot,S,-0.26657379868451286,0.29537135347468,17
N,model,surf,T,-0.07020296369280146,0.601289547548434,28
N,model,surf,S,0.28994301387241983,0.36726231725436564,28
N,model,bot,T,0.30222652386371146,1.1214881941587347,17
N,model,bot,S,0.2708366565191624,0.4409467834638185,17
NW,bc,surf,T,0.5881166513582555,0.9436013091831851,205
NW,bc,surf,S,-0.14497575862233192,0.27915560221802777,205
NW,bc,bot,T,0.748887957299104,1.1111530705188655,191
NW,bc,bot,S,-0.17639022644281185,0.30899247510123934,191
NW,model,surf,T,0.12807266414165477,0.785556240976313,128
NW,model,surf,S,0.5150297880172732,0.5934294402202257,128
NW,model,bot,T,0.05812260808236311,0.9698150364581646,116
NW,model,bot,S,0.5888743078711095,0.6883565464464421,116
W,bc,surf,T,0.6186507531625255,0.7261045919699883,27
W,bc,surf,S,-0.2641618889702678,0.29506616938486974,27
W,bc,bot,T,0.7639234096668376,0.9251834195425407,27
W,bc,bot,S,-0.34819567574394905,0.3772178746453903,27
W,model,surf,T,0.4901827936587123,0.6910963799744422,23
W,model,surf,S,0.6514690233313528,0.6617884247788295,23
W,model,bot,T,0.6458893062904609,0.8282404610735095,23
W,model,bot,S,0.7015404745823007,0.7155008542169264,23
SW,bc,surf,T,0.5916625345185041,0.8385076429297867,127
SW,bc,surf,S,-0.1922290488415811,0.3073428175332206,127
SW,bc,bot,T,0.7521289676148049,0.9528795066686386,125
SW,bc,bot,S,-0.24743440280431558,0.3251174931341226,125
SW,model,surf,T,0.29250450929005883,0.6197649368994755,96
SW,model,surf,S,0.6164358854293825,0.6667413162164318,96
SW,model,bot,T,0.42448072284936683,0.6980825506715278,94
SW,model,bot,S,0.6363518262160934,0.6866999377329313,94
S,bc,surf,T,-0.5264404898250807,0.6040528654422763,17
S,bc,surf,S,-0.47442237943761467,0.5078583547144501,17
S,bc,bot,T,-0.35413690185546876,0.5515735938244792,17
S,bc,bot,S,-0.5106283694996558,0.5422553842032312,17
S,model,surf,T,-0.46629883261287974,0.5207663009774959,17
S,model,surf,S,0.27603934792911305,0.3292162382421481,17
S,model,bot,T,-0.35939030052725857,0.545271148974,17
S,model,bot,S,0.2556655973994039,0.3084106660260467,17
